"Date","Weekday","Holiday","HolidayType"
2019-11-10,"Sunday","Eid Milad un-Nabi","Public Holiday"
2019-12-25,"Wednesday","Christmas Day","Public Holiday"
2019-12-25,"Wednesday","Quaid-e-Azam Day","Public Holiday"
2020-02-05,"Wednesday","Kashmir Day","Public Holiday"
2020-03-23,"Monday","Pakistan Day","Public Holiday"
2020-05-01,"Friday","Labour Day","Public Holiday"
2020-05-22,"Friday","Eid-ul-Fitr Holiday","Public Holiday"
2020-05-23,"Saturday","Eid-ul-Fitr Holiday","Public Holiday"
2020-05-24,"Sunday","Eid-ul-Fitr","Public Holiday"
2020-05-25,"Monday","Eid-ul-Fitr Holiday","Public Holiday"
2020-05-26,"Tuesday","Eid-ul-Fitr Holiday","Public Holiday"
2020-05-27,"Wednesday","Eid-ul-Fitr Holiday","Public Holiday"
2020-07-31,"Friday","Eid al-Adha","Public Holiday"
2020-08-01,"Saturday","Eid al-Adha Holiday","Public Holiday"
2020-08-02,"Sunday","Eid al-Adha Holiday","Public Holiday"
2020-08-14,"Friday","Independence Day","Public Holiday"
2020-08-29,"Saturday","Ashura","Public Holiday"
2020-08-30,"Sunday","Ashura Holiday","Public Holiday"
2020-10-30,"Friday","Eid Milad un-Nabi","Public Holiday"
2020-12-25,"Friday","Christmas Day","Public Holiday"
2020-12-25,"Friday","Quaid-e-Azam Day","Public Holiday"
2021-02-05,"Friday","Kashmir Day","Public Holiday"
2021-03-23,"Tuesday","Pakistan Day","Public Holiday"
2021-05-01,"Saturday","Labour Day","Public Holiday"
2021-05-13,"Thursday","Eid-ul-Fitr","Public Holiday"
2021-05-14,"Friday","Eid-ul-Fitr Holiday","Public Holiday"
2021-05-15,"Saturday","Eid-ul-Fitr Holiday","Public Holiday"
2021-05-16,"Sunday","Eid-ul-Fitr Holiday","Public Holiday"
2021-07-20,"Tuesday","Eid al-Adha","Public Holiday"
2021-07-21,"Wednesday","Eid al-Adha Holiday","Public Holiday"
2021-07-22,"Thursday","Eid al-Adha Holiday","Public Holiday"
2021-08-14,"Saturday","Independence Day","Public Holiday"
2021-08-18,"Wednesday","Ashura","Public Holiday"
2021-08-19,"Thursday","Ashura Holiday","Public Holiday"
2021-10-19,"Tuesday","Eid Milad un-Nabi","Public Holiday"
2021-12-25,"Saturday","Christmas Day","Public Holiday"
2021-12-25,"Saturday","Quaid-e-Azam Day","Public Holiday"
2022-02-05,"Saturday","Kashmir Day","Public Holiday"
2022-03-23,"Wednesday","Pakistan Day","Public Holiday"
2022-04-18,"Monday","Easter Monday *","Public Holiday"
2022-05-01,"Sunday","Labour Day","Public Holiday"
2022-05-03,"Tuesday","Eid ul-Fitr","Public Holiday"
2022-05-04,"Wednesday","Eid ul-Fitr Holiday","Public Holiday"
2022-05-05,"Thursday","Eid ul-Fitr Holiday","Public Holiday"
2022-07-10,"Sunday","Eid ul-Azha","Public Holiday"
2022-07-11,"Monday","Eid ul-Azha Holiday","Public Holiday"
2022-08-08,"Monday","Ashura","Public Holiday"
2022-08-09,"Tuesday","Ashura","Public Holiday"
2022-08-14,"Sunday","Independence Day","Public Holiday"
2022-10-09,"Sunday","Milad un-Nabi","Public Holiday"
2022-12-25,"Sunday","Christmas Day *","Public Holiday"
2022-12-25,"Sunday","Quiad-e-Azam Day","Public Holiday"
2022-12-26,"Monday","Day after Christmas *","Public Holiday"
2022-02-05,"Saturday","Kashmir Day","Public Holiday"
2022-03-23,"Wednesday","Pakistan Day","Public Holiday"
2022-04-10,"Sunday","Easter Monday *","Public Holiday"
2022-04-22,"Friday","Eid ul-Fitr","Public Holiday"
2022-04-23,"Saturday","Eid ul-Fitr Holiday","Public Holiday"
2022-04-24,"Sunday","Eid ul-Fitr Holiday","Public Holiday"
2022-05-01,"Sunday","Labour Day","Public Holiday"
2022-06-29,"Wednesday","Eid ul-Azha","Public Holiday"
2022-06-30,"Thursday","Eid ul-Azha Holiday","Public Holiday"
2022-07-28,"Thursday","Ashura","Public Holiday"
2022-07-29,"Friday","Ashura","Public Holiday"
2022-08-14,"Sunday","Independence Day","Public Holiday"
2022-09-28,"Wednesday","Milad un-Nabi","Public Holiday"
2022-12-25,"Sunday","Christmas Day *","Public Holiday"
2022-12-25,"Sunday","Quiad-e-Azam Day","Public Holiday"
2022-12-26,"Monday","Day after Christmas *","Public Holiday"
2023-02-05,"Sunday","Kashmir Day","Public Holiday"
2023-03-23,"Thursday","Pakistan Day","Public Holiday"
2023-04-10,"Monday","Easter Monday *","Public Holiday"
2023-04-22,"Saturday","Eid ul-Fitr","Public Holiday"
2023-04-23,"Sunday","Eid ul-Fitr Holiday","Public Holiday"
2023-04-24,"Monday","Eid ul-Fitr Holiday","Public Holiday"
2023-05-01,"Monday","Labour Day","Public Holiday"
2023-06-29,"Thursday","Eid ul-Azha","Public Holiday"
2023-06-30,"Friday","Eid ul-Azha Holiday","Public Holiday"
2023-07-28,"Friday","Ashura","Public Holiday"
2023-07-29,"Saturday","Ashura","Public Holiday"
2023-08-14,"Monday","Independence Day","Public Holiday"
2023-09-28,"Thursday","Milad un-Nabi","Public Holiday"
2023-12-25,"Monday","Christmas Day *","Public Holiday"
2023-12-25,"Monday","Quiad-e-Azam Day","Public Holiday"
2023-12-26,"Tuesday","Day after Christmas *","Public Holiday"
